rank,accession,source_database,organism_or_strain_as_annotated,length_aa,predicted_TM_segments,informative_active_site_positions_present_of_14,closest_mobilised_family,identity_percent,notes
110,WP_508920581.1,RefSeq,Escherichia coli,563,5,11,MCR-4.1,23.7,
111,WP_509402429.1,RefSeq,Citrobacter freundii,564,5,11,MCR-4.1,23.7,
112,WP_312998569.1,RefSeq,Leclercia,563,5,11,MCR-4.1,23.7,
113,WP_212714918.1,RefSeq,Tatumella,562,3,11,MCR-4.1,23.7,
114,WP_012004603.1,RefSeq,Enterobacterales,564,4,11,MCR-7.1,23.6,
115,WP_232922310.1,RefSeq,Buttiauxella cochleicola,561,4,11,MCR-5.1,23.6,
116,WP_490767110.1,RefSeq,Kosakonia cowanii,560,5,11,MCR-7.1,23.6,
117,NP_418002.2,RefSeq,Escherichia coli str. K-12 substr. MG1655,563,5,11,MCR-4.1,23.5,
118,WP_509059624.1,RefSeq,Escherichia coli,563,5,11,MCR-4.1,23.5,
119,WP_001269196.1,RefSeq,Pseudomonadati,563,5,11,MCR-4.1,23.5,
120,WP_508222309.1,RefSeq,Enterobacter kobei,563,4,11,MCR-2.1,23.2,
121,WP_497768878.1,RefSeq,Kluyvera fluvialis,563,4,11,MCR-10.1,23.2,
122,WP_106440961.1,RefSeq,Yersinia pseudotuberculosis complex,563,4,11,MCR-7.1,23.0,
123,WP_508669306.1,RefSeq,Citrobacter sedlakii,563,5,11,MCR-5.1,22.8,
124,WP_336819346.1,RefSeq,Enterobacteriaceae,560,5,11,MCR-4.1,22.4,
125,WP_498979891.1,RefSeq,Gammaproteobacteria,592,4,6,MCR-7.1,21.1,
126,WP_494494284.1,RefSeq,Cedecea sp. B1(4),577,2,6,MCR-3.1,20.6,
127,WP_489146167.1,RefSeq,Hafnia paralvei,540,3,6,MCR-3.1,20.6,
128,WP_369492371.1,RefSeq,Salmonella enterica,577,3,6,MCR-5.1,20.4,
129,WP_039485950.1,RefSeq,Pectobacterium parvum,572,4,6,MCR-3.1,20.0,
130,WP_504686596.1,RefSeq,Pluralibacter gergoviae,577,4,6,MCR-7.1,19.9,
131,WP_481637740.1,RefSeq,Franconibacter pulveris,550,4,6,MCR-4.1,19.9,
132,WP_132353712.1,RefSeq,Photorhabdus khanii,527,4,6,MCR-9.1,19.8,
133,NP_418390.1,RefSeq,Escherichia coli str. K-12 substr. MG1655,577,3,6,MCR-5.1,19.7,
134,WP_507560833.1,RefSeq,Pseudomonas sp.,580,3,6,MCR-3.1,19.6,
135,WP_133632104.1,RefSeq,Lelliottia sp.,550,3,6,MCR-12.1,19.6,
136,WP_499239275.1,RefSeq,Rahnella variigena,583,3,6,MCR-7.1,19.3,
137,WP_069369415.1,RefSeq,Enterobacterales,527,4,6,MCR-10.1,19.3,
138,WP_320530243.1,RefSeq,Leclercia,523,2,6,MCR-8.1,19.3,
139,WP_499056736.1,RefSeq,Phytobacter ursingii,527,2,6,MCR-8.1,19.1,
140,WP_472681345.1,RefSeq,Pluralibacter gergoviae,527,3,6,MCR-5.1,19.0,
141,WP_008502676.1,RefSeq,Enterobacter,550,1,6,MCR-4.1,18.9,
142,WP_490535502.1,RefSeq,Proteus mirabilis,543,4,6,MCR-10.1,18.9,
143,WP_085541943.1,RefSeq,Cedecea sp. NFIX57,527,4,6,MCR-8.1,18.9,
144,WP_508931853.1,RefSeq,Campylobacter sp.,607,4,6,MCR-4.1,18.8,
145,WP_509190099.1,RefSeq,Enterobacter roggenkampii,527,4,6,MCR-8.1,18.7,
146,WP_509483209.1,RefSeq,Cronobacter sakazakii,527,3,6,MCR-8.1,18.7,
147,WP_508668222.1,RefSeq,Citrobacter sedlakii,526,2,6,MCR-1.1,18.6,
148,WP_509390844.1,RefSeq,Klebsiella pneumoniae,526,1,6,MCR-5.1,18.6,
149,WP_508475707.1,RefSeq,Escherichia coli,499,3,6,MCR-8.1,18.5,
150,WP_509374736.1,RefSeq,Escherichia coli,500,4,6,MCR-5.1,18.4,
151,WP_001550877.1,RefSeq,Pseudomonadati,527,3,6,MCR-8.1,18.3,
152,WP_137503927.1,RefSeq,Enterobacteriaceae,527,3,6,MCR-8.1,18.3,
153,WP_113228290.1,RefSeq,Enterobacteriaceae,527,3,6,MCR-8.1,18.3,
154,WP_506500245.1,RefSeq,Providencia hangzhouensis,569,4,6,MCR-7.1,18.3,
155,WP_493609079.1,RefSeq,Providencia manganoxydans,527,3,6,MCR-8.1,18.3,
156,WP_497766361.1,RefSeq,Kluyvera fluvialis,526,3,6,MCR-8.1,18.3,
157,WP_490768032.1,RefSeq,Kosakonia cowanii,529,2,6,MCR-2.1,18.2,
158,WP_435982576.1,RefSeq,Yokenella regensburgei,527,2,6,MCR-5.1,18.2,
159,WP_135171872.1,RefSeq,Enterobacteriaceae,500,4,6,MCR-5.1,18.1,
160,WP_042201572.1,RefSeq,Enterobacteriaceae,527,4,6,MCR-8.1,18.1,
161,WP_103823496.1,RefSeq,unclassified Leclercia,527,3,6,MCR-8.1,18.1,
162,WP_321178176.1,RefSeq,Neisseriaceae,525,4,6,MCR-10.1,18.1,
163,WP_506159706.1,RefSeq,Serratia marcescens,518,2,6,MCR-5.1,18.1,
164,OpgE,UniProtKB,ECOLI P75785,527,4,6,MCR-8.1,18.1,
165,WP_509059176.1,RefSeq,Morganella morganii,520,3,6,MCR-7.1,18.0,
166,WP_509060339.1,RefSeq,Escherichia coli,527,4,6,MCR-8.1,17.9,
167,WP_032217775.1,RefSeq,Enterobacteriaceae,527,4,6,MCR-8.1,17.9,
168,WP_505564214.1,RefSeq,Salmonella enterica,526,3,6,MCR-8.1,17.9,
169,WP_155020850.1,RefSeq,Citrobacter,528,4,6,MCR-8.1,17.9,
170,WP_437431007.1,RefSeq,Enterobacteriaceae,527,1,6,MCR-8.1,17.9,
171,WP_432481764.1,RefSeq,Moraxella sp. ZY200743,518,4,6,MCR-1.1,17.9,
172,WP_503489110.1,RefSeq,Buttiauxella cochleicola,516,2,6,MCR-12.1,17.8,
173,WP_446469856.1,RefSeq,Xenorhabdus stockiae,519,3,6,MCR-5.1,17.7,
174,WP_472943011.1,RefSeq,Yersinia enterocolitica,523,3,6,MCR-5.1,17.4,
175,WP_112204947.1,RefSeq,Kluyvera cryocrescens,520,5,6,MCR-10.1,17.4,
not ranked,WP_261396260.1,RefSeq,Citrobacter freundii,400,1,14,MCR-9.1,99.0,partial sequence; identity is measured over the aligned region only and is not comparable with the full-length values
